EXPERIMENT,DEVICES,CLOUDS,MAX_QUEUE_SIZE,AVG_QUEUE_SIZE,TOTAL_JOBS,AVG_JOBS_DEVICE,MAX_JOBS_DEVICES,AVG_JOBS_CLOUD,MAX_JOBS_CLOUD,DEVICES_WITH_1+JOB,EXECUTION_TIME_AVG,EXECUTION_TIME_MAX,EXECUTION_TIME_MIN,EXECUTION_TIME_DEVICE_AVG,EXECUTION_TIME_DEVICE_MAX,EXECUTION_TIME_DEVICE_MIN,EXECUTION_TIME_CLOUD_AVG,EXECUTION_TIME_CLOUD_MAX,EXECUTION_TIME_CLOUD_MIN,AVG_EXPERIMENT_TIME,MAX_EXPERIMENT_TIME
MultiDeviceSchedulerLocalRemoteRoundRobin13/0,8.0,0.0,99.0,98.45833333333333,981.6666666666666,122.70833333333333,146.33333333333334,0.0,0.0,8.0,644208.4109864319,1515274.3333333333,9884.0,644208.4109864319,1515274.3333333333,9884.0,0.0,0.0,0.0,1730120.125,1752015.6666666667
MultiDeviceSchedulerLocalRemoteRandom01/0,2.0,0.0,99.0,65.0,171.0,85.5,96.0,0.0,0.0,2.0,730365.7528446683,1494367.3333333333,9944.666666666666,730365.7528446683,1494367.3333333333,9944.666666666666,0.0,0.0,0.0,1662286.3333333333,1662379.6666666667
MultiDeviceSchedulerLocalRemoteRandom12/0,6.0,0.0,3.3333333333333335,1.5555555555555556,66.0,11.0,18.333333333333332,0.0,0.0,6.0,14673.988190719383,35528.666666666664,8732.0,14673.988190719383,35528.666666666664,8732.0,0.0,0.0,0.0,228747.33333333334,252158.33333333334
Single_MultiDeviceSchedulerLocalRemoteRandom02/0,2.0,0.0,9.0,4.5,46.0,23.0,46.0,0.0,0.0,2.0,173066.99314688836,381409.0,10742.0,173066.99314688836,381409.0,10742.0,0.0,0.0,0.0,617086.6666666666,617149.3333333334
Single_MultiDeviceSchedulerLocalRemoteRoundRobin11/0,6.0,0.0,1.0,1.0,21.0,3.5,21.0,0.0,0.0,6.0,9593.709926525715,12701.333333333334,8755.666666666666,9593.709926525715,12701.333333333334,8755.666666666666,0.0,0.0,0.0,203813.88888888888,244692.33333333334
MultiDeviceSchedulerLocalRemoteRoundRobin06/0,4.0,0.0,9.0,9.0,171.0,42.75,52.333333333333336,0.0,0.0,4.0,149810.9351945924,353426.0,9373.0,149810.9351945924,353426.0,9373.0,0.0,0.0,0.0,562410.0833333334,578959.3333333334
SingleDeviceSchedulerCloud12/0,4.0,1.0,2.3333333333333335,0.4666666666666666,168.0,21.0,24.333333333333332,84.0,84.0,5.0,1601.0195356956458,3225.6666666666665,843.6666666666666,1669.0573256503078,3225.6666666666665,1166.0,1328.8683758769967,2913.0,843.6666666666666,220923.66666666666,228172.0
SingleDeviceSchedulerCloud17/0,8.0,1.0,99.0,11.0,1943.3333333333333,121.45833333333333,136.0,971.6666666666666,971.6666666666666,9.0,382404.4066866424,760337.3333333334,2119.6666666666665,382427.9752216478,760337.3333333334,2446.0,382215.8584065985,760028.6666666666,2119.6666666666665,990441.5185185187,998882.3333333334
MultiDeviceSchedulerLocalRemoteRoundRobin05/0,4.0,0.0,99.0,96.83333333333333,466.0,116.5,126.66666666666667,0.0,0.0,4.0,688926.2993112319,1465236.3333333333,10028.333333333334,688926.2993112319,1465236.3333333333,10028.333333333334,0.0,0.0,0.0,1694206.5833333333,1704768.0
MultiDeviceSchedulerLocalRemoteRandom15/0,8.0,0.0,9.0,5.958333333333333,196.0,24.5,31.666666666666668,0.0,0.0,8.0,62174.474255233574,282491.6666666667,9017.666666666666,62174.474255233574,282491.6666666667,9017.666666666666,0.0,0.0,0.0,449713.0,517361.6666666667
