EXPERIMENT,DEVICES,CLOUDS,MAX_QUEUE_SIZE,AVG_QUEUE_SIZE,TOTAL_JOBS,AVG_JOBS_DEVICE,MAX_JOBS_DEVICES,AVG_JOBS_CLOUD,MAX_JOBS_CLOUD,DEVICES_WITH_1+JOB,EXECUTION_TIME_AVG,EXECUTION_TIME_MAX,EXECUTION_TIME_MIN,EXECUTION_TIME_DEVICE_AVG,EXECUTION_TIME_DEVICE_MAX,EXECUTION_TIME_DEVICE_MIN,EXECUTION_TIME_CLOUD_AVG,EXECUTION_TIME_CLOUD_MAX,EXECUTION_TIME_CLOUD_MIN,AVG_EXPERIMENT_TIME,MAX_EXPERIMENT_TIME
Single_MultiDeviceSchedulerLocalRemoteRandom05/0/2,4,0,9,6.75,128,32.0,128,0,0,4,99504.375,248492,8953,99504.375,248492,8953,0,0,0,476778.3333333333,483134
Single_MultiDeviceSchedulerLocalRemoteRandom05/0/1,4,0,9,6.75,113,28.25,113,0,0,4,103157.06194690266,364597,8908,103157.06194690266,364597,8908,0,0,0,474723.25,597482
Single_MultiDeviceSchedulerLocalRemoteRandom05/0/0,4,0,9,6.75,120,30.0,120,0,0,4,97045.45,281598,9719,97045.45,281598,9719,0,0,0,414345.6666666667,509415
MultiDeviceSchedulerLocalRemoteRoundRobin12/0/2,6,0,2,1.3333333333333333,68,11.333333333333334,14,0,0,6,12695.642970917972,26220,8799,12695.642970917972,26220,8799,0,0,0,237435.5,247010
MultiDeviceSchedulerLocalRemoteRoundRobin12/0/1,6,0,2,1.6666666666666667,74,12.333333333333334,14,0,0,6,12359.496564546564,27756,7214,12359.496564546564,27756,7214,0,0,0,237572.83333333334,244065
MultiDeviceSchedulerLocalRemoteRoundRobin12/0/0,6,0,2,1.5,68,11.333333333333334,16,0,0,6,11628.298724423725,25625,8743,11628.298724423725,25625,8743,0,0,0,222666.33333333334,250005
SingleDeviceSchedulerLocal01/0/2,1,0,99,99.0,132,132.0,132,0,0,1,742985.0075757576,1465152,11874,742985.0075757576,1465152,11874,0,0,0,1702623.0,1702623
SingleDeviceSchedulerLocal01/0/1,1,0,99,99.0,120,120.0,120,0,0,1,646855.5083333333,1286451,11306,646855.5083333333,1286451,11306,0,0,0,1522525.0,1522525
SingleDeviceSchedulerLocal01/0/0,1,0,97,97.0,121,121.0,121,0,0,1,550594.438016529,1143205,10373,550594.438016529,1143205,10373,0,0,0,1379762.0,1379762
SingleDeviceSchedulerLocal04/0/2,1,0,1,1.0,11,11.0,11,0,0,1,9422.272727272728,13092,8374,9422.272727272728,13092,8374,0,0,0,208493.0,208493
SingleDeviceSchedulerLocal04/0/1,1,0,1,1.0,11,11.0,11,0,0,1,9561.0,13566,8447,9561.0,13566,8447,0,0,0,211092.0,211092
SingleDeviceSchedulerLocal04/0/0,1,0,1,1.0,11,11.0,11,0,0,1,10215.90909090909,15699,8392,10215.90909090909,15699,8392,0,0,0,205102.0,205102
